decision_id,company_name,ticker,exchange,drug_brand,drug_generic,decision_type,decision_date,indication,review_pathway,source_url_1,source_url_2,verification_status,notes
D011,Basilea Pharmaceutica (developer) / Innoviva (US rights holder),INVA,NASDAQ,Zevtera,ceftobiprole medocaril sodium,Approval,2024-04-03,MRSA bacteremia; ABSSSI; CABP,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/218275s000lbl.pdf,https://www.fda.gov/news-events/press-announcements/fda-approves-new-antibiotic-three-different-uses,Verified,Basilea (SIX:BSLN) is Swiss-listed; Innoviva (NASDAQ:INVA) holds exclusive US rights since Dec 2024
D012,Lumicell Inc. (private),NO_TICKER,N/A,Lumisight,pegulicianine,Approval,2024-04-17,Intraoperative breast cancer tissue detection,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/214511s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified - no public ticker,Sponsor Lumicell Inc. is privately held
D013,ImmunityBio,IBRX,NASDAQ,Anktiva,nogapendekin alfa inbakicept-pmln,Approval,2024-04-22,BCG-unresponsive non-muscle invasive bladder cancer,Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761336s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,
D014,Day One Biopharmaceuticals,DAWN,NASDAQ,Ojemda,tovorafenib,Approval (Accelerated),2024-04-23,Relapsed/refractory pediatric low-grade glioma,Priority/Accelerated,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/218033s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,
D015,X4 Pharmaceuticals,XFOR,NASDAQ,Xolremdi,mavorixafor,Approval,2024-04-26,WHIM syndrome,Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/218709s000lbl.pdf,https://www.globenewswire.com/news-release/2024/04/29/2871050/0/en/X4-Pharmaceuticals-Announces-FDA-Approval-of-XOLREMDI-mavorixafor-Capsules-First-Drug-Indicated-in-Patients-with-WHIM-Syndrome.html,Verified,
D016,Amgen,AMGN,NASDAQ,Imdelltra,tarlatamab-dlle,Approval (Accelerated),2024-05-16,Extensive-stage small cell lung cancer,Priority/Accelerated,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761344s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,
D017,Geron Corporation,GERN,NASDAQ,Rytelo,imetelstat,Approval,2024-06-06,Low-to-intermediate-1 risk myelodysplastic syndromes,Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/217779s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,
D018,Ipsen S.A.,IPN.PA,Euronext Paris; no US ticker,Iqirvo,elafibranor,Approval (Accelerated),2024-06-10,Primary biliary cholangitis (add-on),Priority/Accelerated,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/218860s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified - foreign listing only,Ipsen S.A. trades on Euronext Paris; no primary US listing
D019,Botanix Pharmaceuticals,BOT.AX,ASX Australia; US OTC as BTXXY,Sofdra,sofpironium,Approval,2024-06-20,Primary axillary hyperhidrosis,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/217347s000lbl.pdf,https://biotechdispatch.com.au/news/fda-approves-botanixs-sofdra-the-first-new-drug-for-primary-axillary-hyperhidrosis,Verified - foreign listing primary,Primary listing ASX:BOT; thinly-traded US OTC ADR BTXXY exists
D020,Verona Pharma plc,VRNA,NASDAQ,Ohtuvayre,ensifentrine,Approval,2024-06-26,Chronic obstructive pulmonary disease,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/217389s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,"Chiesi Farmaceutici is a partner in certain territories, not the NDA holder"
D021,Roche Holding AG (Genentech),RHHBY,OTC ADR; primary SIX:ROG,Piasky,crovalimab-akkz,Approval,2024-06-20,Paroxysmal nocturnal hemoglobinuria,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761388s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,
D022,Eli Lilly and Company,LLY,NYSE,Kisunla,donanemab-azbt,Approval,2024-07-02,Alzheimer's disease,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761248s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,
D023,Sun Pharmaceutical Industries,SUNPHARMA.NS,NSE/BSE India; no US ADR,Leqselvi,deuruxolitinib,Approval,2024-07-25,Severe alopecia areata,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/217900Orig1s000correctedlbl.pdf,https://synapse.patsnap.com/article/sun-pharmas-leqselvi-gets-fda-approval-for-severe-alopecia,Verified - foreign listing only,"Acquired via Concert Pharmaceuticals buyout ($576M, Jan 2023)"
D024,Bristol Myers Squibb,BMY,NYSE,Cobenfy,xanomeline and trospium chloride,Approval,2024-09-26,Schizophrenia,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/216158s000lbl.pdf,https://www.fda.gov/news-events/press-announcements/fda-approves-drug-new-mechanism-action-treatment-schizophrenia,Verified,"Acquired via Karuna Therapeutics buyout ($14B, 2024)"
D025,IntraBio Inc. (private),NO_TICKER,N/A,Aqneursa,levacetylleucine,Approval,2024-09-24,Niemann-Pick disease type C,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/219132s000lbl.pdf,https://www.fda.gov/news-events/press-announcements/fda-approves-new-drug-treat-niemann-pick-disease-type-c,Verified - no public ticker,IntraBio Inc. is privately held
D026,Zevra Therapeutics,ZVRA,NASDAQ,Miplyffa,arimoclomol,Approval,2024-09-20,Niemann-Pick disease type C (with miglustat),Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/214927s000lbl.pdf,https://www.fda.gov/news-events/press-announcements/fda-approves-first-treatment-niemann-pick-disease-type-c,Verified,
D027,Eli Lilly and Company,LLY,NYSE,Ebglyss,lebrikizumab-lbkz,Approval,2024-09-13,Moderate-to-severe atopic dermatitis,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761306Orig1s000correctedlbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,
D028,Johnson & Johnson,JNJ,NYSE,Lazcluze,lazertinib,Approval,2024-08-19,Non-small cell lung cancer (with amivantamab),Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/219008s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,
D029,Incyte Corporation,INCY,NASDAQ,Niktimvo,axatilimab-csfr,Approval,2024-08-14,Chronic graft-versus-host disease,Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761411s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,Co-developed with Syndax Pharmaceuticals (NASDAQ:SNDX)
D030,Gilead Sciences,GILD,NASDAQ,Livdelzi,seladelpar,Approval (Accelerated),2024-08-14,Primary biliary cholangitis,Priority/Accelerated,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/217899s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,Gilead acquired CymaBay Therapeutics in 2024
D031,Galderma Group AG,GALD.SW,SIX Swiss Exchange; no US ticker,Nemluvio,nemolizumab-ilto,Approval,2024-08-12,Prurigo nodularis,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761390s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified - foreign listing only,Galderma listed on SIX Swiss Exchange since 2024 IPO
D032,Ascendis Pharma,ASND,NASDAQ,Yorvipath,palopegteriparatide,Approval,2024-08-09,Hypoparathyroidism,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/216490s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,
D033,Servier Pharmaceuticals (private),NO_TICKER,N/A,Voranigo,vorasidenib,Approval,2024-08-06,Grade 2 astrocytoma/oligodendroglioma,Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/218784s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified - no public ticker,Servier is a privately held French pharmaceutical group
D034,Zymeworks Inc.,ZYME,NASDAQ,Ziihera,zanidatamab-hrii,Approval (Accelerated),2024-11-20,HER2-positive biliary tract cancer,Priority/Accelerated,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761416s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,Jazz Pharmaceuticals holds commercial rights
D035,Syndax Pharmaceuticals,SNDX,NASDAQ,Revuforj,revumenib,Approval,2024-11-15,Relapsed/refractory KMT2A-rearranged acute leukemia,Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/218944s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,
D036,Iterum Therapeutics,ITRM,NASDAQ,Orlynvah,sulopenem etzadroxil and probenecid,Approval,2024-10-25,Uncomplicated urinary tract infections,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/213972s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,
D037,Pfizer,PFE,NYSE,Hympavzi,marstacimab-hncq,Approval,2024-10-11,Hemophilia A/B (routine prophylaxis),Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761369s000lbl.pdf,https://www.fda.gov/news-events/press-announcements/fda-approves-new-treatment-hemophilia-or-b,Verified,
D038,Roche Holding AG (Genentech),RHHBY,OTC ADR; primary SIX:ROG,Itovebi,inavolisib,Approval,2024-10-10,PIK3CA-mutated advanced/metastatic breast cancer,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/219249s001lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,
D039,GE HealthCare Technologies,GEHC,NASDAQ,Flyrcado,flurpiridaz F 18,Approval,2024-09-27,Myocardial perfusion imaging,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/215168s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,
D040,Ionis Pharmaceuticals,IONS,NASDAQ,Tryngolza,olezarsen,Approval,2024-12-19,Familial chylomicronemia syndrome,Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/218614s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,
D041,Vertex Pharmaceuticals,VRTX,NASDAQ,Alyftrek,"vanzacaftor, tezacaftor, and deutivacaftor",Approval,2024-12-20,Cystic fibrosis,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/218730s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,
D042,Novo Nordisk,NVO,NYSE,Alhemo,concizumab-mtci,Approval,2024-12-20,Hemophilia A/B (routine prophylaxis),Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761315s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,
D043,AstraZeneca / Daiichi Sankyo,AZN,NASDAQ,Datroway,datopotamab deruxtecan-dlnk,Approval,2025-01-17,HR-positive HER2-negative metastatic breast cancer,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761394s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,Co-developed by AstraZeneca and Daiichi Sankyo (DSNKY OTC)
D044,medac GmbH (private),NO_TICKER,N/A,Grafapex,treosulfan,Approval,2025-01-21,Conditioning regimen for HSCT (AML/MDS),Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/214759s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified - no public ticker,medac GmbH is a privately held German company; US distribution via Medexus Pharmaceuticals
D045,Vertex Pharmaceuticals,VRTX,NASDAQ,Journavx,suzetrigine,Approval,2025-01-30,Moderate-to-severe acute pain,Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219209s000lbl.pdf,https://www.fda.gov/news-events/press-announcements/fda-approves-novel-non-opioid-treatment-moderate-severe-acute-pain,Verified,
D046,SpringWorks Therapeutics,SWTX,NASDAQ,Gomekli,mirdametinib,Approval,2025-02-11,Neurofibromatosis type 1 with plexiform neurofibromas,Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219379Orig1s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,
D047,"Deciphera Pharmaceuticals (acquired by ONO Pharmaceutical, 2025)",NO_TICKER,"formerly NASDAQ:DCPH, delisted",Romvimza,vimseltinib,Approval,2025-02-14,Tenosynovial giant cell tumor,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219304s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified - now private subsidiary,Deciphera acquired by ONO Pharmaceutical (TSE:4528) in 2025; DCPH delisted
D048,Sanofi,SNY,NASDAQ,Qfitlia,fitusiran,Approval,2025-03-28,Hemophilia A/B (with/without inhibitors),Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219019s000lbl.pdf,https://www.fda.gov/news-events/press-announcements/fda-approves-novel-treatment-hemophilia-or-b-or-without-factor-inhibitors,Verified,
D049,GSK plc,GSK,NYSE,Blujepa,gepotidacin,Approval,2025-03-25,Uncomplicated urinary tract infections,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/218230s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,
D050,Novartis AG,NVS,NYSE,Vanrafia,atrasentan,Approval (Accelerated),2025-04-02,IgA nephropathy (proteinuria reduction),Priority/Accelerated,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219208s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,
D051,Akeso Inc.,9926.HK,HKEX Hong Kong; no US ticker,penpulimab-kcqx,penpulimab-kcqx,Approval,2025-04-23,Nasopharyngeal carcinoma,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761258Orig1s000correctedlbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified - foreign listing only,Akeso's first internally-developed biologic approved by FDA; HK-listed only
D052,Johnson & Johnson,JNJ,NYSE,Imaavy,nipocalimab-aahu,Approval,2025-04-29,Generalized myasthenia gravis,Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761430s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,
D053,AbbVie,ABBV,NYSE,Emrelis,telisotuzumab vedotin-tllv,Approval (Accelerated),2025-05-14,c-Met overexpressing non-squamous NSCLC,Priority/Accelerated,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761384s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,
D054,Verastem Oncology,VSTM,NASDAQ,Avmapki Fakzynja Co-Pack,avutometinib and defactinib,Approval (Accelerated),2025-05-08,KRAS-mutated recurrent low-grade serous ovarian cancer,Priority/Accelerated,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219616s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,
D055,Alcon Inc.,ALC,NYSE,Tryptyr,acoltremon,Approval,2025-05-28,Dry eye disease,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/217370s000lbl.pdf,https://www.hcplive.com/view/fda-approves-acoltremon-ophthalmic-solution-tryptyr-for-dry-eye-disease,Verified,
D056,Nuvation Bio,NUVB,NYSE,Ibtrozi,taletrectinib,Approval,2025-06-11,ROS1-positive non-small cell lung cancer,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219713s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,
D057,Merck & Co.,MRK,NYSE,Enflonsia,clesrovimab-cfor,Approval,2025-06-09,RSV prevention in neonates/infants,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761432s000lbledt.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,
D058,Innoviva Specialty Therapeutics (Innoviva Inc.),INVA,NASDAQ,Nuzolvence,zoliflodacin,Approval,2025-12-12,Uncomplicated urogenital gonorrhea,Standard,https://investor.inva.com/news-releases/news-release-details/us-fda-approves-nuzolvencer-zoliflodacin-first-class-single-dose,https://gardp.org/portfolio/zoliflodacin/,Verified,Developed with nonprofit GARDP; first new gonorrhea treatment in ~20 years
D059,Dizal Pharmaceuticals (private at time of approval),NO_TICKER,N/A,Zegfrovy,sunvozertinib,Approval (Accelerated),2025-07-02,EGFR exon20ins NSCLC,Priority/Accelerated,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219839s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified - private at approval,Dizal was privately held at the time of FDA approval
D060,Regeneron Pharmaceuticals,REGN,NASDAQ,Lynozyfic,linvoseltamab-gcpt,Approval (Accelerated),2025-07-02,Relapsed/refractory multiple myeloma,Priority/Accelerated,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761400s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,
D061,CSL Limited,CSL.AX,ASX Australia; no US ADR primary,Andembry,garadacimab-gxii,Approval,2025-06-16,Hereditary angioedema prophylaxis,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761367s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified - foreign listing only,
D062,Boehringer Ingelheim (private),NO_TICKER,N/A,Jascayd,nerandomilast,Approval,2025-10-07,Idiopathic pulmonary fibrosis,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/218764s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified - no public ticker,Boehringer Ingelheim is a privately held German company
D063,Novartis AG,NVS,NYSE,Rhapsido,remibrutinib,Approval,2025-09-30,Chronic spontaneous urticaria,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/218436s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,
D064,Crinetics Pharmaceuticals,CRNX,NASDAQ,Palsonify,paltusotine,Approval,2025-09-25,Acromegaly,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219070s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,
D065,Eli Lilly and Company,LLY,NYSE,Inluriyo,imlunestrant,Approval,2025-09-25,ESR1-mutated advanced/metastatic breast cancer,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/218881s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,
D066,Stealth BioTherapeutics,MITO,NASDAQ,Forzinity,elamipretide,Approval,2025-09-19,Barth syndrome (muscle strength),Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/215244s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,
D067,Merck & Co.,MRK,NYSE,Keytruda Qlex,pembrolizumab and berahyaluronidase alfa-pmph,Approval,2025-09-19,Solid tumors (subcutaneous pembrolizumab formulation),Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761467s000lblOrig2.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,
D068,Sanofi,SNY,NASDAQ,Wayrilz,rilzabrutinib,Approval,2025-08-29,Persistent/chronic immune thrombocytopenia,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219685s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,
D069,Ionis Pharmaceuticals,IONS,NASDAQ,Dawnzera,donidalorsen,Approval,2025-08-21,Hereditary angioedema prophylaxis,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219407s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,
D070,Insmed Incorporated,INSM,NASDAQ,Brinsupri,brensocatib,Approval,2025-08-12,Non-cystic fibrosis bronchiectasis,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/217673s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,
D071,Boehringer Ingelheim (private),NO_TICKER,N/A,Hernexeos,zongertinib,Approval,2025-08-08,HER2-mutated NSCLC,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219042s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified - no public ticker,
D072,Chimerix Inc.,CMRX,NASDAQ,Modeyso,dordaviprone,Approval (Accelerated),2025-08-06,H3 K27M-mutant diffuse midline glioma,Priority/Accelerated,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219876s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,
D073,LENZ Therapeutics,LENZ,NASDAQ,Vizz,aceclidine,Approval,2025-07-31,Presbyopia,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/218585s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,
D074,PTC Therapeutics,PTCT,NASDAQ,Sephience,sepiapterin,Approval,2025-07-28,Sepiapterin-responsive phenylketonuria,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219666s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,
D075,"LEO Pharma (private, foundation-owned)",NO_TICKER,N/A,Anzupgo,delgocitinib,Approval,2025-07-23,Chronic hand eczema,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219155s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified - no public ticker,LEO Pharma is owned by the LEO Foundation
D076,KalVista Pharmaceuticals,KALV,NASDAQ,Ekterly,sebetralstat,Approval,2025-07-03,Acute hereditary angioedema attacks,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219301s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,
