sponsor_key,resolved_company,sec_title,ticker,exchange,us_investable_class,basis
ferring,Ferring Pharmaceuticals,,,,PRIVATE / NO EQUITY,Privately held Swiss company; no publicly traded equity
hospira,Pfizer Inc.,PFIZER INC,PFE,NYSE,US-LISTED,Hospira acquired by Pfizer in 2015; parent is the listed issuer
leo pharma as,LEO Pharma A/S,,,,PRIVATE / NO EQUITY,Owned by the LEO Foundation; no publicly traded equity
viiv hlthcare,GSK plc,,,,NOT US-INVESTABLE (UNVERIFIED),ViiV Healthcare is a joint venture majority owned by GSK; GSK ADR not confirmed in SEC company_tickers.json snapshot
gilead,"Gilead Sciences, Inc.","GILEAD SCIENCES, INC.",GILD,NASDAQ,US-LISTED,SEC company_tickers.json exact title match
gilead sciences,"Gilead Sciences, Inc.","GILEAD SCIENCES, INC.",GILD,NASDAQ,US-LISTED,SEC company_tickers.json exact title match
gilead sciences inc,"Gilead Sciences, Inc.","GILEAD SCIENCES, INC.",GILD,NASDAQ,US-LISTED,SEC company_tickers.json exact title match
otsuka,Otsuka Holdings Co. Ltd.,,,TSE,NON-US LISTING ONLY,Otsuka Holdings lists on the Tokyo Stock Exchange; no SEC registrant entry
eisai inc,Eisai Co. Ltd.,,,TSE,NON-US LISTING ONLY,Eisai Co. lists on the Tokyo Stock Exchange; no SEC registrant entry
ani pharms,ANI Pharmaceuticals Inc,ANI PHARMACEUTICALS INC,ANIP,NASDAQ,US-LISTED,SEC company_tickers.json exact title match
hikma,Hikma Pharmaceuticals PLC,,,LSE,NON-US LISTING ONLY,Hikma lists on the London Stock Exchange; no SEC registrant entry
harrow eye,"Harrow, Inc.","HARROW, INC.",HROW,NASDAQ,US-LISTED,SEC company_tickers.json exact title match
apotex,Apotex Inc.,,,,PRIVATE / NO EQUITY,Privately held Canadian company; no publicly traded equity
glaxo grp ltd,GSK plc,,,,NOT US-INVESTABLE (UNVERIFIED),GSK ADR not present in the SEC company_tickers.json snapshot used for verification
glaxosmithkline,GSK plc,,,,NOT US-INVESTABLE (UNVERIFIED),GSK ADR not present in the SEC company_tickers.json snapshot used for verification
glaxosmithkline llc,GSK plc,,,,NOT US-INVESTABLE (UNVERIFIED),GSK ADR not present in the SEC company_tickers.json snapshot used for verification
sb pharmco,GSK plc,,,,NOT US-INVESTABLE (UNVERIFIED),SB Pharmco was a SmithKline Beecham/GSK entity; GSK ADR not in SEC snapshot
emd serono,Merck KGaA,,,XETRA,NON-US LISTING ONLY,"EMD Serono is the US business of Merck KGaA, which lists on XETRA"
emd serono inc,Merck KGaA,,,XETRA,NON-US LISTING ONLY,"EMD Serono is the US business of Merck KGaA, which lists on XETRA"
serono inc,Merck KGaA,,,XETRA,NON-US LISTING ONLY,Serono acquired by Merck KGaA in 2007
actelion,Johnson & Johnson,JOHNSON & JOHNSON,JNJ,NYSE,US-LISTED,Actelion acquired by Johnson & Johnson in 2017
baxter hlthcare,Baxter International Inc.,BAXTER INTERNATIONAL INC,BAX,NYSE,US-LISTED,SEC company_tickers.json exact title match
becton dickinson co,Becton Dickinson and Company,BECTON DICKINSON & CO,BDX,NYSE,US-LISTED,SEC company_tickers.json exact title match
solventum,Solventum Corporation,Solventum Corp,SOLV,NYSE,US-LISTED,SEC company_tickers.json exact title match
biomarin,BioMarin Pharmaceutical Inc.,BIOMARIN PHARMACEUTICAL INC,BMRN,NASDAQ,US-LISTED,SEC company_tickers.json exact title match
united therap,United Therapeutics Corporation,UNITED THERAPEUTICS Corp,UTHR,NASDAQ,US-LISTED,SEC company_tickers.json exact title match
lantheus medcl,"Lantheus Holdings, Inc.","Lantheus Holdings, Inc.",LNTH,NASDAQ,US-LISTED,SEC company_tickers.json exact title match
indivior,Indivior PLC,"Indivior Pharmaceuticals, Inc.",INDV,NASDAQ,US-LISTED,SEC company_tickers.json exact title match
jazz pharms,Jazz Pharmaceuticals plc,Jazz Pharmaceuticals plc,JAZZ,NASDAQ,US-LISTED,SEC company_tickers.json exact title match
jazz,Jazz Pharmaceuticals plc,Jazz Pharmaceuticals plc,JAZZ,NASDAQ,US-LISTED,SEC company_tickers.json exact title match
ge healthcare,GE HealthCare Technologies Inc.,GE HealthCare Technologies Inc.,GEHC,NASDAQ,US-LISTED,SEC company_tickers.json exact title match
biofrontera,Biofrontera Inc.,Biofrontera Inc.,BFRI,NASDAQ,US-LISTED,SEC company_tickers.json exact title match
alcon labs inc,Alcon Inc.,ALCON INC,ALC,NYSE,US-LISTED,SEC company_tickers.json exact title match
alcon pharms ltd,Alcon Inc.,ALCON INC,ALC,NYSE,US-LISTED,SEC company_tickers.json exact title match
dr reddys,Dr. Reddy's Laboratories Ltd,DR REDDYS LABORATORIES LTD,RDY,NYSE,US-LISTED (ADR),SEC company_tickers.json exact title match (ADR)
amneal,"Amneal Pharmaceuticals, Inc.","Amneal Pharmaceuticals, Inc.",AMRX,NYSE,US-LISTED,SEC company_tickers.json exact title match
perrigo,Perrigo Company plc,PERRIGO Co plc,PRGO,NYSE,US-LISTED,SEC company_tickers.json exact title match
shionogi,Shionogi & Co. Ltd.,SHIONOGI & CO LTD,SGIOF,OTC,US-LISTED (ADR),"SEC company_tickers.json exact title match; primary listing Tokyo, unsponsored US OTC"
celgene,Bristol-Myers Squibb Company,BRISTOL MYERS SQUIBB CO,BMY,NYSE,US-LISTED,Celgene acquired by Bristol-Myers Squibb in November 2019
biogen idec,Biogen Inc.,BIOGEN INC.,BIIB,NASDAQ,US-LISTED,Biogen Idec renamed Biogen in 2015
haleon,Haleon plc,Haleon plc,HLN,NYSE,US-LISTED (ADR),SEC company_tickers.json exact title match (ADR)
loreal usa,L'Oreal S.A.,,,Euronext Paris,NON-US LISTING ONLY,L'Oreal S.A. lists on Euronext Paris; no SEC registrant entry
reckitt benckiser,Reckitt Benckiser Group plc,RECKITT BENCKISER GROUP PLC,RBGLY,OTC,US-LISTED (ADR),"SEC company_tickers.json exact title match; primary listing LSE, US ADR"
fresenius kabi usa,Fresenius SE & Co. KGaA,Fresenius SE & Co. KGaA,FSNUY,OTC,US-LISTED (ADR),"SEC company_tickers.json exact title match; primary listing XETRA, US ADR"
fresenius medcl care,Fresenius Medical Care AG,Fresenius Medical Care AG,FMS,NYSE,US-LISTED (ADR),SEC company_tickers.json exact title match (ADR)
astellas,Astellas Pharma Inc.,,,TSE,NON-US LISTING ONLY,Astellas lists on the Tokyo Stock Exchange; no SEC registrant entry
lupin,Lupin Limited,,,NSE/BSE,NON-US LISTING ONLY,Lupin lists on Indian exchanges; no SEC registrant entry
lupin atlantis,Lupin Limited,,,NSE/BSE,NON-US LISTING ONLY,Lupin subsidiary; parent lists on Indian exchanges only
sun pharma canada,Sun Pharmaceutical Industries Ltd,,,NSE/BSE,NON-US LISTING ONLY,Sun Pharma lists on Indian exchanges; no SEC registrant entry
sandoz canada inc,Sandoz Group AG,,,SIX,NON-US LISTING ONLY,Sandoz Canada is a Sandoz Group subsidiary; parent lists on SIX only
almirall,"Almirall, S.A.",,,BME,NON-US LISTING ONLY,Almirall lists on the Spanish stock exchange; no SEC registrant entry
santen,Santen Pharmaceutical Co. Ltd.,,,TSE,NON-US LISTING ONLY,Santen lists on the Tokyo Stock Exchange; no SEC registrant entry
recordati rare,Recordati S.p.A.,,,Borsa Italiana,NON-US LISTING ONLY,Recordati lists on Borsa Italiana; no SEC registrant entry
chiesi,Chiesi Farmaceutici S.p.A.,,,,PRIVATE / NO EQUITY,Family-owned Italian company; no publicly traded equity
merz pharms,Merz Pharma GmbH & Co. KGaA,,,,PRIVATE / NO EQUITY,Family-owned German company; no publicly traded equity
mayne pharma,Mayne Pharma Group Limited,,,ASX,NON-US LISTING ONLY,Mayne Pharma lists on the Australian Securities Exchange; no SEC registrant entry
ibsa,IBSA Institut Biochimique SA,,,,PRIVATE / NO EQUITY,Privately held Swiss company; no publicly traded equity
helsinn hlthcare,Helsinn Healthcare SA,,,,PRIVATE / NO EQUITY,Privately held Swiss company; no publicly traded equity
bracco,Bracco S.p.A.,,,,PRIVATE / NO EQUITY,Privately held Italian company; no publicly traded equity
thea pharma,Laboratoires Thea,,,,PRIVATE / NO EQUITY,Privately held French company; no publicly traded equity
besins hlthcare,Besins Healthcare,,,,PRIVATE / NO EQUITY,Privately held; no publicly traded equity
danco labs llc,"Danco Laboratories, LLC",,,,PRIVATE / NO EQUITY,Privately held US company; no publicly traded equity
chirhoclin,"ChiRhoClin, Inc.",,,,PRIVATE / NO EQUITY,Privately held US company; no publicly traded equity
romark,Romark Laboratories L.C.,,,,PRIVATE / NO EQUITY,Privately held US company; no publicly traded equity
tolmar,Tolmar Inc.,,,,PRIVATE / NO EQUITY,Privately held US company; no publicly traded equity
bionpharma,Bionpharma Inc.,,,,PRIVATE / NO EQUITY,Privately held US company; no publicly traded equity
padagis us,Padagis LLC,,,,PRIVATE / NO EQUITY,Privately held US generics company; no publicly traded equity
genus lifesciences,Genus Lifesciences Inc.,,,,PRIVATE / NO EQUITY,Privately held US company; no publicly traded equity
braintree,Braintree Laboratories Inc.,,,,PRIVATE / NO EQUITY,Privately held US company; no publicly traded equity
us army,U.S. Army Medical Research and Development Command,,,,PRIVATE / NO EQUITY,US federal government sponsor; no equity
us army med res,U.S. Army Medical Research and Development Command,,,,PRIVATE / NO EQUITY,US federal government sponsor; no equity
feinstein,Feinstein Institutes for Medical Research,,,,PRIVATE / NO EQUITY,Non-profit research institute; no equity
elan pharm,Elan Corporation plc,,,,FORMERLY US-LISTED (DELISTED/ACQUIRED),Elan was acquired by Perrigo in 2013; no longer a separate issuer
lannett,Lannett Company Inc.,,,,FORMERLY US-LISTED (DELISTED/ACQUIRED),Lannett emerged from Chapter 11 in 2023 as a private company
impax labs,Amneal Pharmaceuticals Inc.,"Amneal Pharmaceuticals, Inc.",AMRX,NYSE,US-LISTED,Impax combined with Amneal in 2018; Amneal is the listed issuer
spectrum pharms,Assertio Holdings Inc.,,,,NOT US-INVESTABLE (UNVERIFIED),Spectrum acquired by Assertio in 2023; Assertio not confirmed in SEC snapshot
sucampo pharma llc,Mallinckrodt plc,,,,NOT US-INVESTABLE (UNVERIFIED),Sucampo acquired by Mallinckrodt in 2018; Mallinckrodt not in SEC snapshot
swedish orphan,Swedish Orphan Biovitrum AB,,,Nasdaq Stockholm,NON-US LISTING ONLY,Sobi lists on Nasdaq Stockholm; no SEC registrant entry
biovitrum ab,Swedish Orphan Biovitrum AB,,,Nasdaq Stockholm,NON-US LISTING ONLY,Sobi lists on Nasdaq Stockholm; no SEC registrant entry
advanz pharma,ADVANZ PHARMA Corp.,,,,PRIVATE / NO EQUITY,Taken private by Nordic Capital in 2021; no publicly traded equity
aspen global inc,Aspen Pharmacare Holdings Ltd,,,JSE,NON-US LISTING ONLY,Aspen lists on the Johannesburg Stock Exchange; no SEC registrant entry
specgx llc,Mallinckrodt plc,,,,NOT US-INVESTABLE (UNVERIFIED),SpecGx is a Mallinckrodt subsidiary; Mallinckrodt not in SEC snapshot
meda pharms,Viatris Inc,Viatris Inc,VTRS,NASDAQ,US-LISTED,Meda acquired by Mylan in 2016; Mylan became Viatris in 2020
cipher pharms inc,Cipher Pharmaceuticals Inc.,,,TSX,NON-US LISTING ONLY,Cipher Pharmaceuticals lists on the Toronto Stock Exchange; no SEC registrant entry
santarus,Bausch Health Companies Inc.,Bausch Health Companies Inc.,BHC,NYSE,US-LISTED,Santarus acquired by Salix in 2014; Salix acquired by Valeant/Bausch Health in 2015
fougera,Sandoz Group AG,,,SIX,NON-US LISTING ONLY,Fougera acquired by Sandoz/Novartis in 2012; Sandoz lists on SIX only
medtech products,Prestige Consumer Healthcare Inc.,,,,NOT US-INVESTABLE (UNVERIFIED),Medtech Products is a Prestige Consumer Healthcare subsidiary; not confirmed in SEC snapshot
merck sharp dohme llc,"Merck & Co., Inc.","Merck & Co., Inc.",MRK,NYSE,US-LISTED,"Operating/R&D subsidiary of Merck & Co., Inc. (NYSE:MRK)"
hoffmann la roche,Roche Holding AG,Roche Holding AG,RHHBY,OTCQX,US-LISTED (ADR),F. Hoffmann-La Roche AG operating entity of Roche Holding AG (OTCQX:RHHBY / SIX:ROG)
f hoffmann la roche,Roche Holding AG,Roche Holding AG,RHHBY,OTCQX,US-LISTED (ADR),F. Hoffmann-La Roche AG operating entity of Roche Holding AG (OTCQX:RHHBY / SIX:ROG)
novartis pharmaceuticals corp,Novartis AG,NOVARTIS AG,NVS,NYSE,US-LISTED (ADR),US pharmaceutical operating subsidiary of Novartis AG (NYSE:NVS)
janssen research development,Johnson & Johnson,JOHNSON & JOHNSON,JNJ,NYSE,US-LISTED,Janssen R&D subsidiary of Johnson & Johnson (NYSE:JNJ)
janssen research development llc,Johnson & Johnson,JOHNSON & JOHNSON,JNJ,NYSE,US-LISTED,Janssen R&D subsidiary of Johnson & Johnson (NYSE:JNJ)
janssen biotech,Johnson & Johnson,JOHNSON & JOHNSON,JNJ,NYSE,US-LISTED,Janssen Biotech subsidiary of Johnson & Johnson (NYSE:JNJ)
janssen biotech inc,Johnson & Johnson,JOHNSON & JOHNSON,JNJ,NYSE,US-LISTED,Janssen Biotech subsidiary of Johnson & Johnson (NYSE:JNJ)
teva pharmaceuticals,Teva Pharmaceutical Industries Ltd.,TEVA PHARMACEUTICAL INDUSTRIES LTD,TEVA,NYSE,US-LISTED (ADR),US subsidiary of Teva Pharmaceutical Industries Ltd. (NYSE:TEVA)
teva pharmaceuticals inc,Teva Pharmaceutical Industries Ltd.,TEVA PHARMACEUTICAL INDUSTRIES LTD,TEVA,NYSE,US-LISTED (ADR),US subsidiary of Teva Pharmaceutical Industries Ltd. (NYSE:TEVA)
teva pharmaceuticals usa,Teva Pharmaceutical Industries Ltd.,TEVA PHARMACEUTICAL INDUSTRIES LTD,TEVA,NYSE,US-LISTED (ADR),US operating subsidiary of Teva Pharmaceutical Industries Ltd. (NYSE:TEVA)
teva pharmaceuticals usa inc,Teva Pharmaceutical Industries Ltd.,TEVA PHARMACEUTICAL INDUSTRIES LTD,TEVA,NYSE,US-LISTED (ADR),US operating subsidiary of Teva Pharmaceutical Industries Ltd. (NYSE:TEVA)
baxter healthcare,Baxter International Inc.,BAXTER INTERNATIONAL INC,BAX,NYSE,US-LISTED,Healthcare operating division of Baxter International Inc. (NYSE:BAX)
baxter healthcare corp,Baxter International Inc.,BAXTER INTERNATIONAL INC,BAX,NYSE,US-LISTED,Healthcare operating division of Baxter International Inc. (NYSE:BAX)
replimune,"Replimune Group, Inc.","Replimune Group, Inc.",REPL,NASDAQ,US-LISTED,"Operating subsidiary of Replimune Group, Inc. (NASDAQ:REPL)"
replimune inc,"Replimune Group, Inc.","Replimune Group, Inc.",REPL,NASDAQ,US-LISTED,"Operating subsidiary of Replimune Group, Inc. (NASDAQ:REPL)"
coherus biosciences,"Coherus BioSciences, Inc.","Coherus Oncology, Inc.",CHRS,NASDAQ,US-LISTED,"Operating company Coherus BioSciences / Coherus Oncology, Inc. (NASDAQ:CHRS)"
coherus biosciences inc,"Coherus BioSciences, Inc.","Coherus Oncology, Inc.",CHRS,NASDAQ,US-LISTED,"Operating company Coherus BioSciences / Coherus Oncology, Inc. (NASDAQ:CHRS)"
biohaven therapeutics,Biohaven Ltd.,Biohaven Ltd.,BHVN,NYSE,US-LISTED,Therapeutics division of Biohaven Ltd. (NYSE:BHVN)
biohaven therapeutics ltd,Biohaven Ltd.,Biohaven Ltd.,BHVN,NYSE,US-LISTED,Therapeutics division of Biohaven Ltd. (NYSE:BHVN)
cingulate therapeutics,Cingulate Inc.,Cingulate Inc.,CING,NASDAQ,US-LISTED,Operating subsidiary of Cingulate Inc. (NASDAQ:CING)
cingulate therapeutics llc,Cingulate Inc.,Cingulate Inc.,CING,NASDAQ,US-LISTED,Operating subsidiary of Cingulate Inc. (NASDAQ:CING)
eagle pharmaceuticals,"Eagle Pharmaceuticals, Inc.","Eagle Pharmaceuticals, Inc.",EGRX,NASDAQ,US-LISTED,"Exact SEC registrant Eagle Pharmaceuticals, Inc. (NASDAQ:EGRX)"
